M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
M00002	Glycolysis, core module involving three-carbon compounds
M00003	Gluconeogenesis, oxaloacetate => fructose-6P
M00307	Pyruvate oxidation, pyruvate => acetyl-CoA
M00009	Citrate cycle (TCA cycle, Krebs cycle)
M00010	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate
M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
M00004	Pentose phosphate pathway (Pentose phosphate cycle)
M00006	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P
M00007	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P
M00580	Pentose phosphate pathway, archaea, fructose 6P => ribose 5P
M00005	PRPP biosynthesis, ribose 5P => PRPP
M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate
M00308	Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P
M00633	Semi-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate-3P
M00309	Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate
M00014	Glucuronate pathway (uronate pathway)
M00630	D-Galacturonate degradation (fungi), D-galacturonate => glycerol
M00631	D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P
M00061	D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P
M00081	Pectin degradation
M00632	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P
M00552	D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P
M00129	Ascorbate biosynthesis, animals, glucose-1P => ascorbate
M00114	Ascorbate biosynthesis, plants, fructose-6P => ascorbate
M00550	Ascorbate degradation, ascorbate => D-xylulose-5P
M00854	Glycogen biosynthesis, glucose-1P => glycogen/starch
M00855	Glycogen degradation, glycogen => glucose-6P
M00565	Trehalose biosynthesis, D-glucose 1P => trehalose
M00549	Nucleotide sugar biosynthesis, glucose => UDP-glucose
M00554	Nucleotide sugar biosynthesis, galactose => UDP-galactose
M00892	UDP-N-acetyl-D-glucosamine biosynthesis, eukaryotes, glucose => UDP-GlcNAc
M00909	UDP-N-acetyl-D-glucosamine biosynthesis, prokaryotes, glucose => UDP-GlcNAc
M00761	Undecaprenylphosphate alpha-L-Ara4N biosynthesis, UDP-GlcA => undecaprenyl phosphate alpha-L-Ara4N
M00012	Glyoxylate cycle
M00373	Ethylmalonyl pathway
M00740	Methylaspartate cycle
M00532	Photorespiration
M00013	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA
M00741	Propanoyl-CoA metabolism, propanoyl-CoA => succinyl-CoA
M00968	Pentose bisphosphate pathway (nucleoside degradation), archaea, nucleoside/NMP => 3-PGA/glycerone phosphate
M00130	Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4
M00131	Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol
M00132	Inositol phosphate metabolism, Ins(1,3,4)P3 => phytate
M00165	Reductive pentose phosphate cycle (Calvin cycle)
M00166	Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P
M00167	Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P
M00168	CAM (Crassulacean acid metabolism), dark
M00169	CAM (Crassulacean acid metabolism), light
M00172	C4-dicarboxylic acid cycle, NADP - malic enzyme type
M00171	C4-dicarboxylic acid cycle, NAD - malic enzyme type
M00170	C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type
M00173	Reductive citrate cycle (Arnon-Buchanan cycle)
M00376	3-Hydroxypropionate bi-cycle
